user_id,target
3936336,0
4132021,1
4190511,1
4190512,0
3903406,1
3904024,0
3904339,0
3904603,1
3906124,1
3906989,0
3907664,1
3907776,1
3908291,0
3908554,0
3910298,0
3910492,1
3912442,1
3912628,1
3912974,0
3913118,1
3913217,1
3913279,0
3913281,1
3913558,0
3913572,0
3914942,0
3914950,1
3915039,1
3915167,1
3915189,1
3915411,0
3915581,1
3916054,1
3916075,1
3916236,0
3916427,1
3916645,0
3916767,0
3916843,0
3916881,0
3916967,0
3917119,1
3917148,1
3917600,0
3917735,1
3917764,0
3917800,0
3918002,0
3918555,1
3918579,0
3918644,1
3918767,1
3918772,0
3918824,1
3918972,0
3919193,0
3919301,0
3919428,0
3919521,0
3919581,0
3919684,0
3919764,0
3920182,1
3920288,0
3920319,1
3920358,1
3920379,1
3920380,0
3920550,0
3920957,0
3921049,0
3921262,0
3921286,0
3921584,1
3921800,0
3921989,0
3922690,0
3922693,0
3923106,0
3927485,1
3927848,0
3928195,1
3928744,0
3929525,0
3929697,1
3931559,0
3931709,0
3932006,1
3932503,1
3932690,0
3932724,0
3932860,0
3933075,1
3933135,0
3933796,1
3933863,0
3933922,0
3933925,0
3934154,0
3934570,0
3934609,0
3935603,0
3935894,1
3937042,0
3937421,0
3939057,0
3939106,1
3939625,1
3939626,1
3939690,0
3940024,0
3940149,1
3940702,0
3941367,0
3941492,1
3941815,0
3942205,0
3942226,0
3942230,1
3942723,1
3943886,0
3944097,1
3944208,1
3944348,0
3944579,1
3945387,1
3945544,1
3946406,1
3946520,0
3946562,0
3947607,1
3948396,0
3949059,0
3950485,1
3950530,1
3950877,0
3951696,1
3951819,1
3952055,0
3952183,1
3952930,0
3953113,0
3953801,1
3953834,1
3955415,1
3956203,1
3956904,1
3957470,0
3957996,0
3958419,0
3959942,1
3959943,1
3961473,0
3963484,0
3964093,1
3965428,1
3965488,0
3965867,0
3966103,0
3966185,0
3967427,0
3969699,0
3969859,0
3970029,0
3970730,0
3972852,1
3977086,0
3977311,1
3983063,1
3984003,1
3989362,0
3989822,1
3993429,1
3993760,1
3998124,0
3999814,1
3999845,0
4000819,1
4001948,0
4007171,0
4009727,1
4010438,1
4013507,0
4013619,0
4013922,0
4014694,0
4016728,1
4017327,1
4027772,0
4028536,1
4028872,1
4030768,0
4032643,1
4034177,1
4037054,1
4038981,1
4039205,0
4039740,0
4042196,1
4042209,1
4042418,1
4042455,0
4042537,1
4042640,0
4042785,1
4042887,1
4043243,0
4043406,0
4043511,1
4044614,0
4044626,0
4044772,0
4044885,1
4046936,0
4048062,1
4049641,0
4049788,1
4050774,1
4051058,1
4053156,1
4053172,0
4053581,1
4053828,1
4058317,0
4062453,1
4062660,0
4065822,0
4066650,0
4066675,0
4066851,0
4066933,0
4066952,0
4066969,1
4066977,0
4067567,1
4067591,0
4067828,0
4067873,0
4068011,1
4068362,0
4068449,0
4068541,0
4069040,0
4069153,0
4069222,0
4069357,0
4069535,0
4069708,1
4069793,0
4069803,1
4069805,1
4069924,1
4070217,0
4074266,0
4074527,1
4074583,0
4075174,1
4075267,0
4075366,0
4075621,0
4075706,0
4076060,0
4076075,1
4076378,0
4076557,1
4076591,0
4076635,0
4076779,1
4076837,0
4076883,0
4076889,0
4076965,1
4076999,0
4077038,0
4077140,1
4077202,0
4077297,0
4077501,0
4077889,0
4077967,0
4078332,0
4078371,0
4078485,0
4078526,1
4078700,0
4078961,1
4079003,0
4079160,1
4079256,1
4079492,1
4079495,0
4079590,0
4079612,1
4079692,0
4079731,1
4079808,0
4079834,0
4080090,0
4080295,1
4080540,1
4080653,0
4080867,1
4081068,0
4081450,0
4081541,0
4081857,1
4081893,1
4082135,1
4082313,0
4082530,0
4082865,1
4083072,0
4083103,0
4083119,1
4083146,0
4083589,0
4084139,0
4085394,1
4085727,0
4086195,0
4088128,1
4089297,1
4089528,0
4089546,0
4089765,1
4089948,0
4090962,1
4091329,0
4091381,0
4092151,0
4092370,0
4092547,1
4093266,0
4093474,0
4096147,1
4096621,0
4097153,0
4097159,0
4097588,0
4097591,1
4097894,1
4099152,1
4100222,0
4100397,0
4100621,1
4100680,1
4100836,0
4102128,0
4102797,0
4104702,1
4104762,1
4104947,0
4105213,1
4105385,0
4105405,1
4105895,1
4107325,1
4107828,0
4107953,0
4107967,1
4108081,1
4108174,0
4108408,1
4108412,1
4108612,0
4108811,0
4108888,1
4109462,0
4110610,0
4110762,1
4110934,1
4111012,0
4111122,0
4111208,0
4111273,1
4111406,1
4112025,0
4112899,0
4113336,1
4114035,1
4114250,1
4114696,0
4115240,1
4115995,1
4116734,0
4117107,0
4117899,1
4118625,1
4120559,1
4121474,1
4121995,1
4124161,0
4124641,1
4124653,1
4124979,0
4125006,0
4125715,1
4125819,1
4126081,0
4126124,1
4126200,1
4126236,1
4126552,0
4126556,0
4126630,1
4127101,1
4128765,1
4129250,0
4129439,1
4129636,0
4129794,0
4129796,0
4129993,0
4130102,1
4130552,0
4131378,0
4131625,0
4131750,1
4131830,0
4131862,0
4131910,1
4132246,1
4132848,0
4132897,0
4133113,1
4133120,0
4133383,0
4133437,0
4133818,0
4133854,0
4133949,0
4134117,0
4134602,0
4134704,0
4136677,1
4136694,0
4136930,0
4137036,0
4137159,0
4137257,1
4137974,0
4138097,0
4139969,1
4140027,0
4140031,0
4140155,1
4140570,0
4140618,1
4140947,1
